OKZ;OKZU;BEZEICHNUNG1;BEZEICHNUNG2;BEZEICHNUNG3;POSTADRESSE_STRAﬂE;POSTADRESS_HAUSNUMMER;POSTADRESSE_POSTFACH;POSTADRESSE_PLZ;POSTADRESSE_ORT;POSTADRESSE_BUNDESLAND;POSTADRESSE_LAND;POSTADRESSE_LƒNDERCODE;POSTADRESSE_ADRESSZEILE1;POSTADRESSE_ADRESSZEILE2;POSTADRESSE_ADRESSZEILE3;POSTADRESSE_ADRESSCODE;BESUCHSADRESSE_STRAﬂE;BESUCHSADRESSE_HAUSNUMMER;BESUCHSADRESSE_POSTFACH;BESUCHSADRESSE_PLZ;BESUCHSADRESSE_ORT;BESUCHSADRESSE_BUNDESLAND;BESUCHSADRESSE_LAND;BESUCHSADRESSE_LƒNDERCODE;BESUCHSADRESSE_ADRESSZEILE1;BESUCHSADRESSE_ADRESSZEILE2;BESUCHSADRESSE_ADRESSZEILE3;BESUCHSADRESSE_ADRESSCODE;TELEFONNUMMER;FAX;MAIL;HOMEPAGE;AMTSSTUNDEN;PARTEIENVERKEHR;ERSB_NR;DATENHERKUNFT;ERSTELLUNGSDATUM
L9;L9-B13;Bezirksvorstehung des 13. Wiener Gemeindebezirkes;Bezirksvorsteherin;;Hietzinger Kai;1-3;;1130;Wien;Wien;÷sterreich;AUT;Hietzinger Kai 1-3;1130 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 13115;+43 1 4000 9913120;post@bv13.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B14;Bezirksvorstehung des 14. Wiener Gemeindebezirkes;Bezirksvorsteherin;;H¸tteldorfer Straﬂe;188;;1140;Wien;Wien;÷sterreich;AUT;H¸tteldorfer Straﬂe 188;1140 Wien; ;10113866; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 14111;+43 1 4000 9914120;post@bv14.wien.gv.at;; ;<strong>Parteienverkehr:</strong><br>Montag bi; ;L9;2022-07-06 14:17:43
L9;L9-B15;Bezirksvorstehung des 15. Wiener Gemeindebezirkes;Bezirksvorsteher;;Gasgasse;8-10;;1150;Wien;Wien;÷sterreich;AUT;Gasgasse 8-10;1150 Wien; ;10120403; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 15110;+43 1 4000 9915120;post@bv15.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B16;Bezirksvorstehung des 16. Wiener Gemeindebezirkes;Bezirksvorsteher;;Richard-Wagner-Platz;19;;1160;Wien;Wien;÷sterreich;AUT;Richard-Wagner-Platz 19;1160 Wien; ;10124345; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 16111;+43 1 4000 9916120;post@bv16.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B17;Bezirksvorstehung des 17. Wiener Gemeindebezirkes;Bezirksvorsteher;;Elterleinplatz;14;;1170;Wien;Wien;÷sterreich;AUT;Elterleinplatz 14;1170 Wien; ;10130916; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 17111;+43 1 4000 9917120;post@bv17.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B18;Bezirksvorstehung des 18. Wiener Gemeindebezirkes;Bezirksvorsteherin;;Martinstraﬂe;100;;1180;Wien;Wien;÷sterreich;AUT;Martinstraﬂe 100;1180 Wien; ;10136144; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 18115;+43 1 4000 9918120;post@bv18.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B19;Bezirksvorstehung des 19. Wiener Gemeindebezirkes;Bezirksvorsteher;;Grinzinger Allee;6;;1190;Wien;Wien;÷sterreich;AUT;Grinzinger Allee 6;1190 Wien; ;25733733; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 19114;+43 1 4000 9919120;post@bv19.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B22;Bezirksvorstehung des 21. Wiener Gemeindebezirkes;Bezirksvorsteher;;Am Spitz;1;;1210;Wien;Wien;÷sterreich;AUT;Am Spitz 1;1210 Wien; ;10153170; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 21110;+43 1 4000 9921110;post@bv21.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B23;Bezirksvorstehung des 22. Wiener Gemeindebezirkes;Bezirksvorsteher;;Schrˆdingerplatz;1;;1220;Wien;Wien;÷sterreich;AUT;Schrˆdingerplatz 1;1220 Wien; ;10176575; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 22110;+43 1 4000 9922120;post@bv22.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B24;Bezirksvorstehung des 23. Wiener Gemeindebezirkes;Bezirksvorsteher;;Perchtoldsdorfer Straﬂe;2;;1230;Wien;Wien;÷sterreich;AUT;Perchtoldsdorfer Straﬂe 2;1230 Wien; ;10178525; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 23114;+43 1 4000 9923120;post@bv23.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-KFP;FP÷ Klub;;;Rathaus;;;1010;Wien;Wien;÷sterreich;AUT;Rathaus ;1010 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81797;+43 1 4000 9981741;klubwien@fpoe.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-GBB;Gleichbehandlungsbeauftragte der Stadt Wien;;;Friedrich-Schmidt-Platz;3;;1082;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 3;1082 Wien; ;10071855; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 83140;+43 1 4000 9983140;;https://www.intern.magwien.gv.at/web/gbb; ;; ;L9;2022-07-06 14:17:43
L9;L9-KGR;Gr¸ner Klub im Rathaus;;;Felderstraﬂe;1;;1010;Wien;Wien;÷sterreich;AUT;Felderstraﬂe 1;1010 Wien; ;10200303; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81800;+43 1 4000 9981811;kanzlei@kgr.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M13-KMS;MA 13;Musikschulen;;Skodagasse;20;;1080;Wien;Wien;÷sterreich;AUT;Skodagasse 20;1080 Wien; ;10072591; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 84410;+43 1 4000 84444;post-kms@ma13.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M13-MOD;MA 13 - Modeschule;Direktion;;Hetzendorfer Straﬂe;79;;1120;Wien;Wien;÷sterreich;AUT;Hetzendorfer Straﬂe 79;1120 Wien; ;10396917; ; ; ; ; ; ; ; ; ; ; ; ;;;post-mod@ma13.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-MBA010;Magistratisches Bezirksamt;1., 8. Bezirk;;Wipplingerstraﬂe;6-8;;1010;Wien;Wien;÷sterreich;AUT;Wipplingerstraﬂe 6-8;1010 Wien; ;10052997; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 01210;+43 1 4000 9901210;post@mba01.wien.gv.at;; ;<strong>Bezirksamt</strong><br>Bitte bringen Sie; ;L9;2022-07-06 14:17:43
L9;L9-MBA100;Magistratisches Bezirksamt;10. Bezirk;;Laxenburger Straﬂe;43-45;;1100;Wien;Wien;÷sterreich;AUT;Laxenburger Straﬂe 43-45;1100 Wien; ;10076103; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 10000;+43 1 4000 9910220;post@mba10.wien.gv.at;; ;Bitte bringen Sie Ihre Anliegen per Post, E-Mail, ; ;L9;2022-07-06 14:17:43
L9;L9-MBA110;Magistratisches Bezirksamt;11. Bezirk;;Enkplatz;2;;1110;Wien;Wien;÷sterreich;AUT;Enkplatz 2;1110 Wien; ;10088249; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 11000;+43 1 4000 9911220;post@mba11.wien.gv.at;; ;Bitte bringen Sie Ihre Anliegen nach Mˆglichkeit p; ;L9;2022-07-06 14:17:43
L9;L9-MBA120;Magistratisches Bezirksamt;12. Bezirk;;Schˆnbrunner Straﬂe;259;;1120;Wien;Wien;÷sterreich;AUT;Schˆnbrunner Straﬂe 259;1120 Wien; ;10095450; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 12000;+43 1 4000 9912220;post@mba12.wien.gv.at;; ;<b>Bezirksamt</b><br>Bitte bringen Sie ihre Anli; ;L9;2022-07-06 14:17:43
L9;L9-MBA130;Magistratisches Bezirksamt;13., 14. Bezirk;;Hietzinger Kai;1;;1130;Wien;Wien;÷sterreich;AUT;Hietzinger Kai 1;1130 Wien; ;10101598; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 13000;+43 1 4000 9913220;post@mba13.wien.gv.at;; ;Sehr geehrte Kundin!<br>Sehr geehrter Kunde! <br; ;L9;2022-07-06 14:17:43
L9;L9-MBA150;Magistratisches Bezirksamt;15. Bezirk;;Gasgasse;8-10;;1150;Wien;Wien;÷sterreich;AUT;Gasgasse 8-10;1150 Wien; ;10120403; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 15000;+43 1 4000 9915220;post@mba15.wien.gv.at;; ;Bezirksamt<br><br><p><font color=black> Bitte br; ;L9;2022-07-06 14:17:43
L9;L9-MBA160;Magistratisches Bezirksamt;16. Bezirk;;Richard-Wagner-Platz;19;;1160;Wien;Wien;÷sterreich;AUT;Richard-Wagner-Platz 19;1160 Wien; ;10124345; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 16261;+43 1 4000 9916220;post@mba16.wien.gv.at;; ;<font>Bitte bringen Sie Ihre Anliegen nach Mˆglich; ;L9;2022-07-06 14:17:43
L9;L9-MBA180;Magistratisches Bezirksamt;18., 19. Bezirk;;Martinstraﬂe;100;;1180;Wien;Wien;÷sterreich;AUT;Martinstraﬂe 100;1180 Wien; ;10136144; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 18000;+43 1 4000 9918220;post@mba18.wien.gv.at;https://www.intern.magwien.gv.at/nur-mba/index.htm; ;Bitte bringen Sie Ihre Anliegen nach Mˆglichkeit p; ;L9;2022-07-06 14:17:43
L9;L9-MBA200;Magistratisches Bezirksamt;2., 20. Bezirk;;Brigittaplatz;10; ;1200;Wien;Wien;÷sterreich;AUT;Brigittaplatz 10;1200 Wien; ;10148806; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 20000;+43 1 4000 9920220;post@mba20.wien.gv.at;; ;Bitte bringen Sie Ihre Anliegen per Post, E-Mail, ; ;L9;2022-07-06 14:17:43
L9;L9-MBA210;Magistratisches Bezirksamt;21. Bezirk;;Am Spitz;1;;1210;Wien;Wien;÷sterreich;AUT;Am Spitz 1;1210 Wien; ;10153170; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 21000;+43 1 4000 9921220;post@mba21.wien.gv.at;https://www.intern.magwien.gv.at/mba/index.html; ;<strong>Bezirksamt</strong><br>Bitte bringen Sie; ;L9;2022-07-06 14:17:43
L9;L9-MBA220;Magistratisches Bezirksamt;22. Bezirk;;Schrˆdingerplatz;1;;1220;Wien;Wien;÷sterreich;AUT;Schrˆdingerplatz 1;1220 Wien; ;10176575; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 22000;+43 1 4000 9922220;post@mba22.wien.gv.at;; ;<br><p>Bitte bringen Sie Ihre Anliegen nach Mˆglic; ;L9;2022-07-06 14:17:43
L9;L9-MBA230;Magistratisches Bezirksamt;23. Bezirk;;Perchtoldsdorfer Straﬂe;2;;1230;Wien;Wien;÷sterreich;AUT;Perchtoldsdorfer Straﬂe 2;1230 Wien; ;10178525; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 23000;+43 1 4000 9923210;post@mba23.wien.gv.at;; ;<br><p>Bitte bringen Sie Ihre Anliegen nach Mˆglic; ;L9;2022-07-06 14:17:43
L9;L9-MBA030;Magistratisches Bezirksamt;3. Bezirk;;Karl-Borrom‰us-Platz;3;;1030;Wien;Wien;÷sterreich;AUT;Karl-Borrom‰us-Platz 3;1030 Wien; ;10061107; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 03000;+43 1 4000 9903210;post@mba03.wien.gv.at;https://www.intern.magwien.gv.at/nur-mba/index.htm; ;<br>Bitte bringen Sie Ihre Anliegen nach Mˆglichke; ;L9;2022-07-06 14:17:43
L9;L9-MBA040;Magistratisches Bezirksamt;4., 5. Bezirk;;Rechte Wienzeile;105;;1050;Wien;Wien;÷sterreich;AUT;Rechte Wienzeile 105;1050 Wien; ;10207052; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 05000;+43 1 4000 9905220;post@mba04.wien.gv.at;; ;Bitte bringen Sie Ihre Anliegen nach Mˆglichkeit p; ;L9;2022-07-06 14:17:43
L9;L9-MBA060;Magistratisches Bezirksamt;6., 7. Bezirk;;Hermanngasse;24-26;;1070;Wien;Wien;÷sterreich;AUT;Hermanngasse 24-26;1070 Wien; ;10070707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 07000;+43 1 4000 9907220;post@mba06.wien.gv.at;; ;Bitte bringen Sie Ihre Anliegen nach Mˆglichkeit p; ;L9;2022-07-06 14:17:43
L9;L9-MBA17;Magistratisches Bezirksamt;9., 17. Bezirk;;Kalvarienberggasse;29;;1170;Wien;Wien;÷sterreich;AUT;Kalvarienberggasse 29;1170 Wien; ;10130917; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 17000;+43 1 4000 9917220;post@mba17.wien.gv.at;; ;<strong>Bezirksamt</strong><br><strong> WICHTIGE; ;L9;2022-07-06 14:17:43
L9;L9-M01;Magistratsabteilung 01;Wien Digital;Dienststellenleitung;Stadlauer Straﬂe;54-56;;1220;Wien;Wien;÷sterreich;AUT;Stadlauer Straﬂe 54-56;1220 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;;+43 1 4000 9971019;post@ma01.wien.gv.at;https://www.intern.magwien.gv.at/group/m01/; ;; ;L9;2022-07-06 14:17:43
L9;L9-M10;Magistratsabteilung 10;Kinderg‰rten;Dienststellenleitung;Thomas-Klestil-Platz;11;;1030;Wien;Wien;÷sterreich;AUT;Thomas-Klestil-Platz 11;1030 Wien; ;10463665; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 90309;+43 1 4000 9990248;post@ma10.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-M11;Magistratsabteilung 11;Kinder- und Jugendhilfe;Dienststellenleitung;R¸dengasse;11;;1030;Wien;Wien;÷sterreich;AUT;R¸dengasse 11;1030 Wien; ;10059984; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8011;+43 1 4000 9990619;post@ma11.wien.gv.at;https://www.intern.magwien.gv.at/web/m11; ;; ;L9;2022-07-06 14:17:43
L9;L9-M13;Magistratsabteilung 13;Bildung und Jugend;Dienststellenleitung;Friedrich-Schmidt-Platz;5;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 5;1080 Wien; ;10192639; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 84329;+43 1 4000 9984328;post@ma13.wien.gv.at;http://www.intern.magwien.gv.at/ma13/; ;<p><strong>Amtsstunden:</strong><br>Montag bis F; ;L9;2022-07-06 14:17:43
L9;L9-M15;Magistratsabteilung 15;Gesundheitsdienst;Dienststellenleitung;Thomas-Klestil-Platz;8;;1030;Wien;Wien;÷sterreich;AUT;Thomas-Klestil-Platz 8;1030 Wien; ;10463661; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8015;+43 1 4000 9987960;post@ma15.wien.gv.at;https://www.intern.magwien.gv.at/ma15/index.html; ;<strong>Amtsstunden:</strong><br>Montag bis Frei; ;L9;2022-07-06 14:17:43
L9;L9-M17;Magistratsabteilung 17;Integration und Diversit‰t;Dienststellenleitung;Friedrich-Schmidt-Platz;3;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 3;1080 Wien; ;10071855; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 81523;+43 1 4000 9981523;post@ma17.wien.gv.at;; ;Montag bis Freitag von 7:30 bis 15:30 Uhr.</p>An; ;L9;2022-07-06 14:17:43
L9;L9-M18;Magistratsabteilung 18;Stadtentwicklung und Stadtplanung;Dienststellenleitung;Rathausstraﬂe;14-16;;1082;Wien;Wien;÷sterreich;AUT;Rathausstraﬂe 14-16;1082 Wien; ;10200326; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8018;+43 1 4000 998018;post@ma18.wien.gv.at;https://www.intern.magwien.gv.at/web/m18/startseit; ;<strong>Amtsstunden:</strong><br>Montag bis Freita; ;L9;2022-07-06 14:17:43
L9;L9-M19;Magistratsabteilung 19;Architektur und Stadtgestaltung;Dienststellenleitung;Niederhofstraﬂe;21-23;;1120;Wien;Wien;÷sterreich;AUT;Niederhofstraﬂe 21-23;1120 Wien; ;10366818; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 88916;+43 1 4000 9988910;post@ma19.wien.gv.at;; ;<p><strong>Parteienverkehr:</strong><br><p>Nach ; ;L9;2022-07-06 14:17:43
L9;L9-M02;Magistratsabteilung 2;Personalservice;Dienststellenleitung;Rathausstraﬂe;4;;1010;Wien;Wien;÷sterreich;AUT;Rathausstraﬂe 4;1010 Wien; ;; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 94020;+43 1 4000 9994029;post@ma02.wien.gv.at;https://www.intern.magwien.gv.at/web/m02; ;<p><strong><span style="color:#FF0000">Persˆnliche; ;L9;2022-07-06 14:17:43
L9;L9-M20;Magistratsabteilung 20;Energieplanung;Dienststellenleitung;Rathausstraﬂe;14-16;;1010;Wien;Wien;÷sterreich;AUT;Rathausstraﬂe 14-16;1010 Wien; ;10200326; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 88305;+43 1 4000 88304;post@ma20.wien.gv.at;; ;<strong>Amtsstunden:</strong><br>KundInnenverkehr ; ;L9;2022-07-06 14:17:43
L9;L9-M21A;Magistratsabteilung 21 A;Stadtteilplanung und Fl‰chenwidmung Innen-S¸dwest;Dienststellenleitung;Rathausstraﬂe;14-16;;1010;Wien;Wien;÷sterreich;AUT;Rathausstraﬂe 14-16;1010 Wien; ;10200326; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 88116;+43 1 4000 9988116;post@ma21a.wien.gv.at;; ;<strong>Parteienverkehr - Servicestelle Stadtentwi; ;L9;2022-07-06 14:17:43
L9;L9-M21B;Magistratsabteilung 21 B;Stadtteilplanung und Fl‰chenwidmung Nordost;Dienststellenleitung;Rathausstraﬂe;14-16;;1010;Wien;Wien;÷sterreich;AUT;Rathausstraﬂe 14-16;1010 Wien; ;10200326; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 88116;+43 1 4000 9988116;post@ma21b.wien.gv.at;; ;<strong>Parteienverkehr - Servicestelle Stadtentwi; ;L9;2022-07-06 14:17:43
L9;L9-M22;Magistratsabteilung 22;Umweltschutz;Dienststellenleitung;Dresdner Straﬂe;45;;1200;Wien;Wien;÷sterreich;AUT;Dresdner Straﬂe 45;1200 Wien; ;10464312; ; ; ; ; ; ; ; ; ; ; ; ;;+43 1 4000 9973415;post@ma22.wien.gv.at;http://www.intern.magwien.gv.at/ma22/; ;<br><b>Aufgrund der aktuellen COVID-19-Entwicklung; ;L9;2022-07-06 14:17:43
L9;L9-M23;Magistratsabteilung 23;Wirtschaft, Arbeit und Statistik;Dienststellenleitung;Meiereistraﬂe;7;;1020;Wien;Wien;÷sterreich;AUT;Meiereistraﬂe 7;1020 Wien; ;10239362; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 83057;+43 1 4000 83050;post@ma23.wien.gv.at;http://www.intern.magwien.gv.at/ma23/index.html; ;Montag bis Freitag von 8:00 bis 14:30 Uhr<br>an ge; ;L9;2022-07-06 14:17:43
L9;L9-M24;Magistratsabteilung 24;Strategische Gesundheitsversorgung;;Brigittenauer L‰nde;50-54;;1200;Wien;Wien;÷sterreich;AUT;Brigittenauer L‰nde 50-54;1200 Wien; ;10203419; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 84200;+43 1 4000 9984200;post@ma24.wien.gv.at;; ;Montag bis Freitag von 7.30 Uhr bis 15.30 Uhr <br>; ;L9;2022-07-06 14:17:43
L9;L9-M25;Magistratsabteilung 25;Technische Stadterneuerung;Dienststellenleitung;Maria-Restituta-Platz;1;;1200;Wien;Wien;÷sterreich;AUT;Maria-Restituta-Platz 1;1200 Wien; ;25711462; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 8025;+43 1 4000 998025;post@ma25.wien.gv.at;; ;<span style=>Bei persˆnlichen Kontakt wird grunds‰; ;L9;2022-07-06 14:17:43
L9;L9-M27;Magistratsabteilung 27;Europ‰ische Angelegenheiten;Dienststellenleitung;Friedrich-Schmidt-Platz;3;;1080;Wien;Wien;÷sterreich;AUT;Friedrich-Schmidt-Platz 3;1080 Wien; ;10071855; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 ;+43 1 4000 9927027;post@ma27.wien.gv.at;; ;<strong>Amtsstunden:</strong><br>Montag bis Frei; ;L9;2022-07-06 14:17:43
L9;L9-M28;Magistratsabteilung 28;Straﬂenverwaltung und Straﬂenbau;Dienststellenleitung;Lienfeldergasse;96;;1170;Wien;Wien;÷sterreich;AUT;Lienfeldergasse 96;1170 Wien; ;10132059; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 49600;+43 1 4000 9949610;post@ma28.wien.gv.at;https://www.intern.magwien.gv.at/ma28/; ;<P><B>Einlaufstelle/Planeinsicht/Aufgrabungszustim; ;L9;2022-07-06 14:17:43
